Mes,Año,Observado,ACCESS-CM2,ACCESS-ESM1-5,BCC-CSM2-MR,CESM2,CESM2-WACCM,CMCC-CM2-SR5,CMCC-ESM2,CNRM-CM6-1,CNRM-ESM2-1,CanESM5,EC-Earth3,EC-Earth3-Veg-LR,FGOALS-g3,GFDL-CM4,GFDL-CM4_gr2,GFDL-ESM4,HadGEM3-GC31-LL,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KACE-1-0-G,KIOST-ESM,MIROC-ES2L,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NorESM2-MM
6,1981,0,0,0,0,12,0,3.980837532,3.059613086,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,54.03970472,0,2,2
7,1981,0,17.13331804,0,0,0,4,25.87228574,130.9019169,0,0,0,4,60.72246366,10.0411297,0,0,0,8.056859749,28.01643073,0,0,5.022651758,4,6,0,8.989899172,0,32.744148,0,0
8,1981,0,6,0,0,0,0,0,10.05216105,0,0,18,0,0,0,0,0,4,0,0,0,37.00609963,0,0,0,0,1,0,0,0.155408058,0
9,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1982,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10.04311936,0,0,0
4,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1982,0,0,0,0,0,0,0,0,0,0,1.028439095,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
6,1982,3,0,0,4.002503848,0,0,2,2,0,1,53.01273482,0,27.90909764,0,0,0,0,0,0,0,0,5.06644597,0,5.043651438,6,0,9,0,40.98255411,0
7,1982,0,0,0,0,37.0568326,0,62.44827187,0,29.77003006,1,0,0,44.98962954,28,2,0,0,100.9621234,0,23.1881649,0,99.12063483,0,4.87173562,0,63.23073049,47.88110725,0,3,0
8,1982,0,0,2,0,0,4,5,0,0,0,0.112087915,0,1,0,0,0,2,94.21113306,0,1,0,0,0,2,0,0,35.97408774,3,0,89.07017408
9,1982,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3.98079832,0,0,0
2,1983,0,1.932816479,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5.075963312,0.978532088,0,0,0,0,0,0,0,0,1,0,0,0
3,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1983,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1983,0,0,0,0,0,0,0,0,0,0,13.94724628,0,0,0,0,0,0,0,0,0,0,0,0,0,7.792033399,0,0,0,0,0
6,1983,36,0,5,5.069939699,6,0,1,17.93542054,17.04223826,0,2.009931174,0,0,0,7,6,23.98016169,0,6.112761081,21.05729234,4,0,0,12,17.87831857,25.92414288,0,0,4,0
7,1983,9,6.125308866,36.96745456,13.92242583,0,5,0,5,0,7,0,0,4,0.117131322,2,3,0,6,17.88807826,119.150551,2,34.12035011,3.046339575,0,28.70873185,0,0,58.97874848,12,0.19189625
8,1983,31,0,17.9779295,0,0,6,0,0,4.181841142,0,0,0,2,0,0,0,0,4,4,0,6.16238839,3.010744676,0,117.7256284,0,7.981330992,2,44.43333203,0,0
9,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1984,0,0,0,0,0,0,0,0,0,0,0,15.11758345,0,0,0,0,0,0,8,0,0,0,0,0,0,0,11.10819002,0,0,0
3,1984,5,0,0,0,0,0,0,0,0,0,0,17.04622788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1984,3,0,0,0,0,0,18.84803369,4,0,2,0,0,17,0,0,4,0,0,5.982154261,2,0,3,0,0,0,0,0,0,1,1.029807659
7,1984,44,7,0,0,0,0,0,13,4,0,0,0,0,0,0,0,6.016769198,57.82657305,0,0,19.80314075,4,0,0,0,41.14811417,0,45.91515255,0,45.97006372
8,1984,0,0,0,0,0,0,27.04671489,0,24.98216634,6,0,0,0,0,0,0,0,4.740617573,0,44.62952623,0,0,42.18725092,0,0,0,0,62.69843178,19.98350936,0
9,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.07276533,0,0,0
3,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1985,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1985,0,0,0,0,0,8.979088405,0,0,0,0,0,0,0,12.20423029,4,4,0,0,0,0,3,0,0,0,0,0,0,0,0,16.1299453
7,1985,6,2,0,14,2,0,0,0,4,96,5,0,5.96456452,18,0,2,0,18.79265456,0,3,0,0,2.89129588,0,89.53975189,1,0,4,4.005911768,11
8,1985,0,0,0,0,0,13,2.862154177,0,1.937301026,0,2,5,8.043917498,0,0,0,5,0,0,27.89625581,11.61428027,0,31.13464798,1,0,4,0,0,42.2354839,6
9,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
10,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1986,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
3,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1986,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130975469,0,0
6,1986,0,0,0,5,1,0,0,0,0,2.99209793,21.8618735,0,0,3.979875967,0,2,0,0,2,0,2,0,0,0,12,4.17588841,0,0,0,4
7,1986,0,15,3.979573595,0,29.86557939,0,22.07467015,0,15.0404881,0,96.19647739,0,4,12.99762218,18.3000899,7,0,0,0,0,4,0,0,0,44.42836238,27.13985351,3,0,0,0
8,1986,2,0,0,0,6,0,0,0,274.9038409,0,6,0,0,0,1,0,3,41.38355891,27,6,20.87832349,5.975809802,38.9661898,0,0,0,24.88541372,0,0,0
9,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.129704695,0,0,0,0,0,0,0
12,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
3,1987,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0
4,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1987,4,0,4.201214772,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
6,1987,0,0,0,0,1,0,0,0,29.07084742,0,13.10707427,0,0,4,0,0,13.9140391,0,4,0,0,0,0,0,2,0,0,3,0,0
7,1987,79,0,0.171283424,0,48.20382673,10.83593473,133.0796266,4,6.248794007,0,0,22.94101346,2,0,78.91665202,115.3942826,229.1025646,21.0248835,0,19.98570112,57.97868026,41.08876251,33.18842946,3,0,0,0,98,22.10512726,0
8,1987,0,0,9,12.04963538,0,0,0,0,2,2.125259111,0,0,0,0,0,0,31.0017766,0,0,0,0,1,28.99450225,0,0,0,0,2,27.7028888,0
9,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1988,0,0,0,0,0,0,0,0,0,0,0,9.920310572,0,0,27.96983188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1988,0,0,0,0,0,0,0,0,0,0,0,8.066955635,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1988,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
6,1988,0,0,0,0,2,0,2,2,0,4,6.926951492,0,0,10.10462512,0,0,0,0,0,31.91474071,4,0,0,6,0,0,0,0,9,23.99659438
7,1988,0,0,0,4,127.837804,0,13.00644443,0,18,0,3.943004098,0,0,41.21915468,7.798595135,15.01182577,0,10,43.04034094,9,8,7,5.91469532,0,0,0,0,0,13.06368403,0
8,1988,0,0,0,0,6,0,9.040427285,0,40.46107134,5.936582218,0,0,0,5,0,0,0,6,92,0,7.951439634,0,0,0,0,0,0,0,7.039006898,0
9,1988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1989,0,0,0,0,0,0,0,0,0,0,0,14.98562617,0,0,0,0,2.989508257,1.031062372,0,0,0,0,0,0,0,0,6.914060182,0,0,0
3,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1989,0,0,0,0,0,0,0,0,0,8.163452513,0,0,0,0,0,0,0,0,1,0,0,2,0,0,7.260288731,0,2,0,0,7
7,1989,0,0,2,105.1318362,0,0,0,8,29.66903591,0,35.02243822,58.95453945,17.06007011,7,4.183854412,19.10269484,0,4,23.13500876,3,22.14490198,22.66545699,0,0,7,0,0,0,112.1418151,0
8,1989,28,4,6,0,0,0,0,0,47.05617189,1,9,0,0,0,0,7.792015786,30.0582246,10.02501988,6,0,0,3,28.16872303,0,0,2,17.83169402,0,0,0
9,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1990,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2,1990,0,0,0,0,0,0,0,0,0,0,0,19.90229201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1990,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1990,0,0,1,1,8.965702453,0,0,12.9024714,51.0240948,0,0,0,0,0,0,0,0,0,2,9,0,0,0,2,0,0,0,2,0,0
7,1990,0,28.00751342,0,2,2,27.85038865,0,96.09416655,25.98748945,35.31187302,0,0,6,2,0,4.246788225,2,0,124.6088636,0,3,0,36.02154122,2,6,3,0,14.15894632,0,40.4659775
8,1990,0,61.40806137,0,1,0,8.850772121,0,106.9755494,20.0199655,3,0,0,6,0,0,0,0,0,0,53.14855432,0,0,18,46.13138128,13.95988793,0,0,0,0,3
9,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1991,0,0,0,0,0,0,0,0,0,0,0,12.09435451,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1991,56,0,1,0,7.067921091,0,0,3,0,11.18201559,8,0,3,5.944033945,8.085684759,33.21071366,87.69006751,0,6,34.06211057,0,0,0,1,5,2,0,1,7.10328089,0
7,1991,11,2,6,65.69937622,2.142558224,0,5,4,0,15.82372604,19.78967097,93.88021472,2.17665906,0,60.8195914,55.20751716,4,0,8.058040783,0,9.026515143,0,92,0,4,0,56.97679279,24.31469313,105.044868,0
8,1991,0,0,14.92269378,0,2,0,0,2.983692207,7.000666062,4,0,0,2,0,0,4,0,4,0,0,0,0,0,0,0,4,10.01918614,4.826945812,6,38.07162921
9,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.118407444,0,0,0
2,1992,0,0,0,0,0,0,0,0,0,0,0,3.932864215,0,0,22.00639087,0,35.25577445,0.098828389,3.978545046,0,0,0,0,0,0,0,0,0,0,0
3,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,3.115164347,0,0,0
4,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1992,40,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1992,19,0,0,3.987741035,0,0,4,0,0,0,0,0,0,2,22.02196224,22.14855535,0,0,0,8,9.841762686,0,0,0,0,0,0,0,1,0
7,1992,0,0,15.08818814,104.6218354,4.66675546,103.161349,130.2745635,0,2,31.11451948,7.046978606,0,6,43.02942625,0,0,74.40192815,0,15.20611343,40.27772811,0,4,9,0,0,0,98.38211168,113.4254632,12.0999156,19.89299149
8,1992,0,33.93695805,20.03450878,29.93755322,0,24.88371528,4.167646999,0,0,0,6.025926117,0,2.916805777,1,11.03968089,11.11192818,0,3,0,0,0,0,0,0,2,101.1789661,83.41077999,2,0,0
9,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972994964,0,0,0,12,0,0,0
3,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26.90213938,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,6.125843606,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,1993,0,0,0,0,7,6,0,0,2,38.23447402,14.08161559,0,0,0,0,2,0,0,1,0,0,4,0,4.966620197,6.064174079,45.16378896,0,7,0,0
7,1993,0,95,15.83042689,6,0,0,0,2,6,2,0,25.9705074,246.1997652,0,0,0,0,5.926780027,6,0,44.86481578,23.14859622,0,0,2.066817041,0,8,8,0,0
8,1993,2,4.024843995,0,38.96851031,24.30235715,0,0,0,0,0,0,2,0,0,5,6.11777927,22.15718794,2,4.086276454,13.76127512,0,0,0,0,0,2,22,0.991925124,0,6.023895433
9,1993,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,1994,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20.97839505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.167256055,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
